date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url
2023-06-26,3,Los del Espacio,LIT killah,93,338000,single,1,2023-06-01,False,https://i.scdn.co/image/ab67616d0000b27352c8b9dffa4fcdb36e30eea2
2023-06-26,4,BABY HELLO,Rauw Alejandro & Bizarrap,76,222461,single,1,2023-06-23,True,https://i.scdn.co/image/ab67616d0000b2730ff08e0346b55268e735a4e9
2023-06-26,5,WHERE SHE GOES,Bad Bunny,99,231704,single,1,2023-05-18,True,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1
2023-06-26,6,El Cielo,Sky Rompiendo & Feid & Myke Towers,92,191320,single,1,2023-06-02,True,https://i.scdn.co/image/ab67616d0000b27306eccb4893fa58ae311c45ea
2023-06-26,7,Arena y Sal,Omar Montes & Saiko & Tunvao,81,174415,single,1,2023-05-18,False,https://i.scdn.co/image/ab67616d0000b273e78ae3c73af7c17be0c05cb2
2023-06-26,8,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,90,215600,single,1,2023-05-12,False,https://i.scdn.co/image/ab67616d0000b2732d6016751b8ea5e66e83cd04
2023-06-26,9,El Merengue,Marshmello & Manuel Turizo,92,189668,single,1,2023-03-03,False,https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f
2023-06-26,10,Clavaito,Chanel & Abraham Mateo,84,162740,single,1,2023-04-27,False,https://i.scdn.co/image/ab67616d0000b273441d55b86b1e5a3d4c3da232
2023-06-26,11,Nochentera,Vicco,83,202184,single,1,2022-12-19,False,https://i.scdn.co/image/ab67616d0000b27343eb3794977db60bced5ad16
2023-06-26,12,Supernova,Saiko,85,190909,single,1,2023-04-19,False,https://i.scdn.co/image/ab67616d0000b273c3f5b9580dfc96c80705424a
2023-06-26,13,EL TONTO,Lola Indigo,84,187986,album,11,2023-04-13,False,https://i.scdn.co/image/ab67616d0000b273daab364ac14d96679b5639aa
2023-06-26,14,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,3,2023-03-24,False,https://i.scdn.co/image/ab67616d0000b2734d6cf0d0d5e32ca4fa3a59e1
2023-06-26,15,LAS BABYS,Aitana,81,153827,single,1,2023-06-06,True,https://i.scdn.co/image/ab67616d0000b273d97fd92a38320a899113f139
2023-06-26,16,RoCKSTAR 2.0,Duki,71,173729,album,14,2023-06-22,True,https://i.scdn.co/image/ab67616d0000b27305f22a3797d9b3cf34e6497c
2023-06-26,17,Classy 101,Feid & Young Miko,96,195986,single,1,2023-03-31,True,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
2023-06-26,18,La Bachata,Manuel Turizo,88,162637,album,15,2023-03-17,False,https://i.scdn.co/image/ab67616d0000b2734dd99565ae6453deab7c26e1
2023-06-26,19,La Bebe - Remix,Yng Lvcas & Peso Pluma,100,234352,single,2,2023-03-17,True,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
2023-06-26,20,Ella Baila Sola,Eslabon Armado,93,165671,album,16,2023-04-28,False,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f
2023-06-26,21,No_se_ve.mp3,Emilia & LUDMILLA & ZECCA,87,203636,single,1,2023-05-03,True,https://i.scdn.co/image/ab67616d0000b27332630fe83750d8db0b2b2d5c
2023-06-26,22,Yandel 150,Yandel,90,216148,album,17,2023-01-13,True,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700
